PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,TicketCount_x,TicketCount_y
1,0,3,0,22.0,1,0,7.25,S,1,1
2,1,1,1,38.0,1,0,71.2833,C,1,1
3,1,3,1,26.0,0,0,7.925,S,1,1
4,1,1,1,35.0,1,0,53.1,S,2,2
5,0,3,0,35.0,0,0,8.05,S,1,1
6,0,3,0,25.0,0,0,8.4583,Q,1,1
7,0,1,0,54.0,0,0,51.8625,S,1,1
8,0,3,0,2.0,3,1,21.075,S,4,4
9,1,3,1,27.0,0,2,11.1333,S,3,3
10,1,2,1,14.0,1,0,30.0708,C,2,2
11,1,3,1,4.0,1,1,16.7,S,2,2
12,1,1,1,58.0,0,0,26.55,S,1,1
13,0,3,0,20.0,0,0,8.05,S,1,1
14,0,3,0,39.0,1,5,31.275,S,7,7
15,0,3,1,14.0,0,0,7.8542,S,1,1
16,1,2,1,55.0,0,0,16.0,S,1,1
17,0,3,0,2.0,4,1,29.125,Q,5,5
18,1,2,0,30.0,0,0,13.0,S,1,1
19,0,3,1,31.0,1,0,18.0,S,1,1
20,1,3,1,21.5,0,0,7.225,C,1,1
21,0,2,0,35.0,0,0,26.0,S,2,2
22,1,2,0,34.0,0,0,13.0,S,1,1
23,1,3,1,15.0,0,0,8.0292,Q,1,1
24,1,1,0,28.0,0,0,35.5,S,1,1
25,0,3,1,8.0,3,1,21.075,S,4,4
26,1,3,1,38.0,1,5,31.3875,S,4,4
27,0,3,0,25.0,0,0,7.225,C,1,1
28,0,1,0,19.0,3,2,263.0,S,4,4
29,1,3,1,21.5,0,0,7.8792,Q,1,1
30,0,3,0,25.0,0,0,7.8958,S,1,1
31,0,1,0,40.0,0,0,27.7208,C,1,1
32,1,1,1,35.0,1,0,146.5208,C,2,2
33,1,3,1,21.5,0,0,7.75,Q,1,1
34,0,2,0,66.0,0,0,10.5,S,1,1
35,0,1,0,28.0,1,0,82.1708,C,2,2
36,0,1,0,42.0,1,0,52.0,S,2,2
37,1,3,0,25.0,0,0,7.2292,C,1,1
38,0,3,0,21.0,0,0,8.05,S,1,1
39,0,3,1,18.0,2,0,18.0,S,2,2
40,1,3,1,14.0,1,0,11.2417,C,2,2
41,0,3,1,40.0,1,0,9.475,S,1,1
42,0,2,1,27.0,1,0,21.0,S,2,2
43,0,3,0,25.0,0,0,7.8958,C,1,1
44,1,2,1,3.0,1,2,41.5792,C,3,3
45,1,3,1,19.0,0,0,7.8792,Q,1,1
46,0,3,0,25.0,0,0,8.05,S,1,1
47,0,3,0,25.0,1,0,15.5,Q,1,1
48,1,3,1,21.5,0,0,7.75,Q,1,1
49,0,3,0,25.0,2,0,21.6792,C,1,1
50,0,3,1,18.0,1,0,17.8,S,2,2
51,0,3,0,7.0,4,1,39.6875,S,6,6
52,0,3,0,21.0,0,0,7.8,S,1,1
53,1,1,1,49.0,1,0,76.7292,C,3,3
54,1,2,1,29.0,1,0,26.0,S,1,1
55,0,1,0,65.0,0,1,61.9792,C,1,1
56,1,1,0,40.0,0,0,35.5,S,1,1
57,1,2,1,21.0,0,0,10.5,S,1,1
58,0,3,0,28.5,0,0,7.2292,C,1,1
59,1,2,1,5.0,1,2,27.75,S,3,3
60,0,3,0,11.0,5,2,46.9,S,6,6
61,0,3,0,22.0,0,0,7.2292,C,1,1
62,1,1,1,38.0,0,0,80.0,S,2,2
63,0,1,0,45.0,1,0,83.475,S,2,2
64,0,3,0,4.0,3,2,27.9,S,6,6
65,0,1,0,40.0,0,0,27.7208,C,1,1
66,1,3,0,25.0,1,1,15.2458,C,2,2
67,1,2,1,29.0,0,0,10.5,S,1,1
68,0,3,0,19.0,0,0,8.1583,S,1,1
69,1,3,1,17.0,4,2,7.925,S,1,1
70,0,3,0,26.0,2,0,8.6625,S,1,1
71,0,2,0,32.0,0,0,10.5,S,1,1
72,0,3,1,16.0,5,2,46.9,S,6,6
73,0,2,0,21.0,0,0,73.5,S,5,5
74,0,3,0,26.0,1,0,14.4542,C,1,1
75,1,3,0,32.0,0,0,56.4958,S,7,7
76,0,3,0,25.0,0,0,7.65,S,1,1
77,0,3,0,25.0,0,0,7.8958,S,1,1
78,0,3,0,25.0,0,0,8.05,S,1,1
79,1,2,0,0.83,0,2,29.0,S,2,2
80,1,3,1,30.0,0,0,12.475,S,2,2
81,0,3,0,22.0,0,0,9.0,S,1,1
